"","rank","team","games_played","wins","losses","draws","goals_for","goals_against","goal_diff","points","owner"
"1",1,"Leicester City",2,2,0,0,7,2,5,6,"Neo"
"2",2,"Everton",2,2,0,0,6,2,4,6,"Casey"
"3",3,"Arsenal",2,2,0,0,5,1,4,6,"Megan"
"4",4,"Liverpool",2,2,0,0,6,3,3,6,"Casey"
"5",5,"Crystal Palace",2,2,0,0,4,1,3,6,"Megan"
"6",6,"Tottenham Hotspur",2,1,1,0,5,3,2,3,"Neo"
"7",7,"Manchester City",1,1,0,0,3,1,2,3,"Jason"
"8",8,"Brighton and Hove Albion",2,1,1,0,4,3,1,3,"CB"
"9",9,"Aston Villa",1,1,0,0,1,0,1,3,"Neo"
"10",10,"Leeds United",2,1,1,0,7,7,0,3,"Jason"
"11",11,"Chelsea",2,1,1,0,3,3,0,3,"Megan"
"12",12,"Wolverhampton Wanderers",2,1,1,0,3,3,0,3,"CB"
"13",13,"Newcastle United",2,1,1,0,2,3,-1,3,"Neo"
"14",14,"Burnley",1,0,1,0,2,4,-2,0,"CB"
"15",15,"Manchester United",1,0,1,0,1,3,-2,0,"CB"
"16",16,"West Ham United",2,0,2,0,1,4,-3,0,"Megan"
"17",17,"Sheffield United",2,0,2,0,0,3,-3,0,"Casey"
"18",18,"Fulham",2,0,2,0,3,7,-4,0,"Casey"
"19",19,"Southampton",2,0,2,0,2,6,-4,0,"Jason"
"20",20,"West Bromwich Albion",2,0,2,0,2,8,-6,0,"Jason"
